Publication [stationId=236, city=Galati, temp=-8, rain=0.18, wind=60, direction=NV, date=1910-11-10 ]
Publication [stationId=214, city=Galati, temp=9, rain=0.94, wind=147, direction=V, date=1884-04-17 ]
Publication [stationId=52, city=Galati, temp=8, rain=0.77, wind=84, direction=NE, date=1866-09-27 ]
Publication [stationId=189, city=Timisoara, temp=-7, rain=0.87, wind=26, direction=N, date=1882-07-18 ]
Publication [stationId=120, city=Giurgiu, temp=3, rain=0.67, wind=79, direction=NV, date=2013-08-14 ]
Publication [stationId=69, city=Craiova, temp=-18, rain=0.58, wind=137, direction=E, date=1856-03-07 ]
Publication [stationId=165, city=Bacau, temp=-8, rain=0.21, wind=75, direction=NE, date=1940-09-20 ]
Publication [stationId=174, city=Giurgiu, temp=5, rain=0.93, wind=32, direction=SV, date=2006-07-29 ]
Publication [stationId=139, city=Giurgiu, temp=20, rain=0.29, wind=145, direction=SV, date=1958-06-02 ]
Publication [stationId=6, city=Iasi, temp=7, rain=0.3, wind=106, direction=E, date=1823-08-17 ]
Publication [stationId=203, city=Iasi, temp=3, rain=0.54, wind=24, direction=N, date=1934-01-25 ]
Publication [stationId=160, city=Iasi, temp=30, rain=0.52, wind=101, direction=V, date=1904-07-03 ]
Publication [stationId=7, city=Galati, temp=-11, rain=0.23, wind=2, direction=S, date=2011-04-27 ]
Publication [stationId=154, city=Galati, temp=34, rain=0.71, wind=144, direction=V, date=1837-04-06 ]
Publication [stationId=164, city=Iasi, temp=28, rain=0.06, wind=112, direction=NV, date=1952-09-06 ]
Publication [stationId=182, city=Timisoara, temp=24, rain=0.42, wind=21, direction=NE, date=1842-01-21 ]
Publication [stationId=19, city=Craiova, temp=11, rain=0.5, wind=68, direction=NE, date=1973-06-15 ]
Publication [stationId=75, city=Bacau, temp=17, rain=0.73, wind=97, direction=SE, date=1943-02-03 ]
Publication [stationId=125, city=Craiova, temp=3, rain=0.54, wind=149, direction=V, date=1925-05-31 ]
Publication [stationId=137, city=Iasi, temp=16, rain=0.46, wind=122, direction=NE, date=1939-12-12 ]
Publication [stationId=169, city=Timisoara, temp=-6, rain=0.53, wind=52, direction=SE, date=1916-10-06 ]
Publication [stationId=167, city=Timisoara, temp=12, rain=0.29, wind=21, direction=S, date=1933-01-29 ]
Publication [stationId=168, city=Galati, temp=21, rain=0.3, wind=5, direction=E, date=1995-03-02 ]
